1865    1865-06-11	3003
1865	1865-12	148; 149
1870	1870-12	18; 21
1870	1870-12	365; 167
1884	1884-01-30	3627
1891	1891-10-05	5312
1894	1894-01-09	2316
1894	1894-01-09	2426
1894	1894-01-09	2469
1894	1894-01-09	2470
1894	1894-01-09	2474
1894	1894-01-09	2482
1894	1894-01-09	2485
1894	1894-01-09	2492
1894	1894-01-16	2299
1894	1894-01-16	2362
1894	1894-01-16	2392
1894	1894-01-16	2396
1894	1894-01-16	2453
1894	1894-01-16	2486
1894	1894-01-16	2518
1894	1894-01-16	2529
1894	1894-01-16	2533
1894	1894-01-16	2924
1894	1894-01-16	3116
1894	1894-01-23	2520
1894	1894-01-23	2522
1894	1894-01-23	2535
1894	1894-01-23	2543
1894	1894-01-23	3590
1894	1894-01-23	3657
1894	1894-01-23	3697
1894	1894-01-30	2124
1894	1894-01-30	2185
1894	1894-01-30	2190
1894	1894-01-30	2350
1894	1894-01-30	2544
1894	1894-01-30	2564
1894	1894-01-30	3358
1894	1894-01-30	3510
1894	1894-01-30	3523
1894	1894-01-30	3524
1894	1894-01-30	3618
1894	1894-01-30	3619
1894	1894-01-30	3628
1894	1894-02-01	2108
1894	1894-02-01	2207
1894	1894-02-01	2216
1894	1894-02-01	2499
1894	1894-02-01	2534
1894	1894-02-01	2561
1894	1894-02-01	2568
1894	1894-02-01	3629
1894	1894-02-01	3716
1894	1894-02-20	2243
1894	1894-02-20	2571
1894	1894-02-20	2581
1894	1894-02-20	2588
1894	1894-02-20	2597
1894	1894-02-20	2600
1894	1894-02-20	2604
1894	1894-02-20	2608
1894	1894-02-20	2609
1894	1894-02-20	2611
1894	1894-02-20	2613
1894	1894-02-20	2614
1894	1894-02-20	3642
1894	1894-02-27	2256
1894	1894-02-27	2262
1894	1894-02-27	2264
1894	1894-02-27	2324
1894	1894-02-27	2578
1894	1894-03-06	2273
1894	1894-03-06	2289
1894	1894-03-06	2298
1894	1894-03-06	2300
1894	1894-03-06	2660
1894	1894-03-06	3671
1894	1894-03-06	3765
1894	1894-03-12	4168
1894	1894-03-13	2304
1894	1894-03-13	2310
1894	1894-03-13	2312
1894	1894-03-13	2590
1894	1894-03-13	2620
